"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
OS23-164,https://projects.sare.org/sare_project/OS23-164,"On-farm Development of Innovative Compost-based Tabletop Systems for Improving Local Strawberry Production in Florida","29,997.00",Southern,"On Farm Research/Partnership",FL,2023,"University of Florida"
ONE24-433,https://projects.sare.org/sare_project/ONE24-433,"Advancing Compost Processing in North Philadelphia Through Sensor-Technology and Varying C:N Ratios","26,624.00",Northeast,"On Farm Research/Partnership",PA,2024,"WeRadiate LLC"
OS24-174,https://projects.sare.org/sare_project/OS24-174,"Integrated Sustainable Technologies for Enhancing Farm Productivity","29,801.00",Southern,"On Farm Research/Partnership",NC,2024,"Appalachian State University"
GNE14-089,https://projects.sare.org/sare_project/GNE14-089,"Reduction of environmental risks and improving livestock productivity in Mixed Crop-Livestock Systems with cheap byproducts of berry fruits","14,983.00",Northeast,"Graduate Student",MD,2014,"University of Maryland-College Park"
LNC06-275,https://projects.sare.org/sare_project/LNC06-275,"Alternative Bedding and Management of Composting bedded Pack Dairy Barns","150,000.00","North Central","Research and Education",MN,2006,
LNE08-277,https://projects.sare.org/sare_project/LNE08-277,"UNH Organic Dairy Farm agroecosystem study","379,087.00",Northeast,"Research and Education",NH,2008,
FNC17-1104,https://projects.sare.org/sare_project/FNC17-1104,"Lawrence Worm Farm, Sustainability in Food Waste Reclamation","14,305.00","North Central",Farmer/Rancher,KS,2017,"Larryville Worm"
FNC10-797,https://projects.sare.org/sare_project/FNC10-797,"Mulching with wool: opportunities to increase production and plant viability against pest damage while creating new regional markets for kempy (unsalable) wool.","5,994.75","North Central",Farmer/Rancher,OH,2010,
LNE03-192,https://projects.sare.org/sare_project/LNE03-192,"Multipurpose Brassica cover crops for sustaining Northeast farmers","158,570.00",Northeast,"Research and Education",MD,2003,
LNE04-198,https://projects.sare.org/sare_project/LNE04-198,"Integrated and Sustainable Wine Grape Production in Southern New England","100,000.00",Northeast,"Research and Education",MA,2004,
LNE08-272,https://projects.sare.org/sare_project/LNE08-272,"Increasing quality, diversity and seed availability of potato varieties for small-scale farms","176,434.00",Northeast,"Research and Education",NY,2008,
FNE22-033,https://projects.sare.org/sare_project/FNE22-033,"Clonal Production of Hybrid Chestnuts via Stool Bed Layering to Improve Overall Orchard Quality","19,696.00",Northeast,Farmer/Rancher,NY,2022,"Z's Nutty Ridge LLC"
LS06-193,https://projects.sare.org/sare_project/LS06-193,"Grafting Rootstocks onto Heirloom and Locally Adapted Tomato Selections to Confer Resistance to Root-knot Nematodes and other Soil Borne Diseases and to Increase Nutrient Uptake Efficiency in an Intensive Farming System for Market Gardeners","193,000.00",Southern,"Research and Education",NC,2006,
EW09-013,https://projects.sare.org/sare_project/EW09-013,"In-service Training and Decision-Making Tools for Optimizing Livestock Mortality Management","97,848.00",Western,"Professional Development Program",CO,2009,
FNC01-336,https://projects.sare.org/sare_project/FNC01-336,"Culinary Herbs for Direct Marketing","4,996.00","North Central",Farmer/Rancher,OH,2001,
FNC08-704,https://projects.sare.org/sare_project/FNC08-704,"City Backyard Farming","6,000.00","North Central",Farmer/Rancher,MN,2008,Farmer
FNC08-733,https://projects.sare.org/sare_project/FNC08-733,"Increasing Diversity of Ozark Adapted Open Pollinated Seed Varieties","17,512.84","North Central",Farmer/Rancher,MO,2008,
FNC15-984,https://projects.sare.org/sare_project/FNC15-984,"Let Pigs Eat Waste: Spice Acres to Reduce Landfill Waste and Lower Food Costs by Using Non-Meat Waste from Local Restaurants","7,492.00","North Central",Farmer/Rancher,OH,2015,
FNE08-645,https://projects.sare.org/sare_project/FNE08-645,"Using foster mother hens to raise chicks on a diversified sustainable farm","5,986.00",Northeast,Farmer/Rancher,NY,2008,
FW01-089,https://projects.sare.org/sare_project/FW01-089,"Symphylans: A growing menace.  A look into its detection, damage, and ontrol in a small-scale Biointensive Community Supported Agriculture Project.","6,270.00",Western,Farmer/Rancher,CA,2001,
GS08-070,https://projects.sare.org/sare_project/GS08-070,"The fate of the finca: Smallholders in the Hispanic Caribbean","10,000.00",Southern,"Graduate Student",PR,2008,"University of Texas at Austin"
GS10-093,https://projects.sare.org/sare_project/GS10-093,"Improving nutrient retention with biochar","9,852.00",Southern,"Graduate Student",FL,2010,"University of Florida"
GW13-006,https://projects.sare.org/sare_project/GW13-006,"Determination of gas emissions from manure sources in animal feeding operations","25,000.00",Western,"Graduate Student",UT,2013,"Utah State University"
LNC12-341,https://projects.sare.org/sare_project/LNC12-341,"Development of Organic Nutrient Management Recommendations for High Tunnel Raspberry Production","49,388.00","North Central","Research and Education",WI,2012,
LS02-132,https://projects.sare.org/sare_project/LS02-132,"Cover Cropping and Residue Management for Weed Suppression, Soil Fertility and Organic Crop Production","99,117.00",Southern,"Research and Education",NC,2002,
ONE10-115,https://projects.sare.org/sare_project/ONE10-115,"How to Use Season Extension Effectively for Winter Market Sales: Investigating Planting Date, Types of Cover,  and Fertility","12,417.00",Northeast,"On Farm Research/Partnership",NY,2010,
ONE10-131,https://projects.sare.org/sare_project/ONE10-131,"Irrigation and Nutrient Management to Maximize Vegetable Yield and Minimize Pollution","14,986.00",Northeast,"On Farm Research/Partnership",MA,2010,
OW15-031,https://projects.sare.org/sare_project/OW15-031,"Seven Trees, Seven Practices: Demonstrating Agroforestry in the Western Pacific","47,899.00",Western,"On Farm Research/Partnership",GU,2015,"University of Guam"
SW97-074,https://projects.sare.org/sare_project/SW97-074,"Advancing Sustainable Potato Production in the Northwest","35,000.00",Western,"Research and Education",OR,1997,
SW99-024A,https://projects.sare.org/sare_project/SW99-024A,"The Effects of Altering the Protein Efficiency of Lactating Dairy Cows on the Whole-Farm Nitrogen Efficiency of Dairy Farms.","89,571.00",Western,"Research and Education",UT,1999,
ENC16-155,https://projects.sare.org/sare_project/ENC16-155,"Training agricultural professionals and extension educators manage crop environment and soil quality in high tunnel vegetable production","69,924.00","North Central","Professional Development Program",IA,2016,"Iowa State University"
FNC17-1088,https://projects.sare.org/sare_project/FNC17-1088,"Differential Impacts of Growing Medium on Micro Greens Productivity","7,458.00","North Central",Farmer/Rancher,IN,2017,"McEvilly Gardens LLC"
ENC17-161,https://projects.sare.org/sare_project/ENC17-161,"Training extension educators and local food professionals on sustainable vegetable pest management tools and techniques","74,994.00","North Central","Professional Development Program",IA,2017,"Iowa State University"
YENC18-130,https://projects.sare.org/sare_project/YENC18-130,"Grow Healthy, Lansing! Nutrition Education in the Edible Schoolyard","2,000.00","North Central","Youth Educator",MI,2018,"NorthWest Initiative"
FNC18-1136,https://projects.sare.org/sare_project/FNC18-1136,"Organic Methods to Promote Branching in Nursery Apple","6,979.00","North Central",Farmer/Rancher,WI,2018,"Two Onion Farm"
SW18-015,https://projects.sare.org/sare_project/SW18-015,"On-farm evaluation and demonstration of advanced manure solidliquid separation technologies for a sustainable dairy industry in Idaho","287,466.00",Western,"Research and Education",ID,2018,"University of Idaho"
FNC19-1180,https://projects.sare.org/sare_project/FNC19-1180,"No Waste Mushroom Cultivation: Viability Comparison of Spent Grain and Coffee Grounds for Small-scale and Urban farmers","5,445.00","North Central",Farmer/Rancher,IN,2019,"Three Flock Farm"
LNC19-421,https://projects.sare.org/sare_project/LNC19-421,"Building resilience to extreme rainfall events: cover crop-based reduced tillage strategies for diversified organic vegetable farms","199,534.00","North Central","Research and Education",WI,2019,"University of Wisconsin-Madison"
WSP19-023,https://projects.sare.org/sare_project/WSP19-023,"Colorado Sustainable Agricultural Professional Development Program, (2019)","28,636.00",Western,"PDP State Program",CO,2019,"Colorado State University"
ONE19-335,https://projects.sare.org/sare_project/ONE19-335,"Mycoremediation of Phosphorus in Agricultural Runoff using Mycorrhizal-Plant Associations","29,981.00",Northeast,"On Farm Research/Partnership",VT,2019,"University of Vermont"
FNC21-1293,https://projects.sare.org/sare_project/FNC21-1293,"Neighborhood-Based Cooperative Market Gardening in Carondelet, St. Louis, MO","17,996.00","North Central",Farmer/Rancher,MO,2021,MARSH
YENC21-162,https://projects.sare.org/sare_project/YENC21-162,"Multicultural FOOD and ECOLOGY Youth Initiative","4,000.00","North Central","Youth Educator",MN,2021,"Northern Plains Sustainable Agriculture Society (NPSAS)"
SFL21-002,https://projects.sare.org/sare_project/SFL21-002,"2021 Florida SARE MSP Proposal FAMU","11,108.00",Southern,"PDP State Program",FL,2021,"University of Florida, Florida A&amp;M University"
ONE22-426,https://projects.sare.org/sare_project/ONE22-426,"Farm-scale Urine Fertilizer Implementation: Refining Application Methods, Gathering Buyer and Consumer Perspectives, and Producing Farmer Guide","29,998.00",Northeast,"On Farm Research/Partnership",VT,2022,"Rich Earth Institute"
FNE22-008,https://projects.sare.org/sare_project/FNE22-008,"Agroforestry Production of Rare Medicinal Herbs in New Hampshire","30,000.00",Northeast,Farmer/Rancher,NH,2022,"Greenhillfarm NH"
GNC16-221,https://projects.sare.org/sare_project/GNC16-221,"Factors Driving Grain Producers to Convert to Organic Farming Systems","12,000.00","North Central","Graduate Student",IA,2016,"Iowa State University"
FS24-376,https://projects.sare.org/sare_project/FS24-376,"Regenerating South Texas Plains with Poultry-Inoculated Biochar","15,709.00",Southern,Farmer/Rancher,TX,2024,"Smith Pastures, LLC"
FNC10-813,https://projects.sare.org/sare_project/FNC10-813,"Growing On and Under Asphalt","3,835.30","North Central",Farmer/Rancher,MO,2010,
LNE11-313,https://projects.sare.org/sare_project/LNE11-313,"UNH Organic Dairy Farm Agroecosystem Study, Phase II; A closed system, energy independent organic dairy farm for Northeastern U.S.","392,658.00",Northeast,"Research and Education",NH,2011,
LS10-235,https://projects.sare.org/sare_project/LS10-235,"Preparing Small Scale Limited Resource Vegetable Farmers for Organic Farming in North Florida","15,000.00",Southern,"Research and Education",FL,2010,"Florida A&amp;M University"
EW16-026,https://projects.sare.org/sare_project/EW16-026,"Assessment of Soil Biology and Plant Available Nitrogen for Soil Health and Water Quality","49,690.00",Western,"Professional Development Program",CA,2016,"CAFES Center for Sustainability"
YENC16-107,https://projects.sare.org/sare_project/YENC16-107,"Foodbanking and Farming with Dayton’s Youth","2,000.00","North Central","Youth Educator",OH,2016,"The Foodbank, Inc."
FNC09-793,https://projects.sare.org/sare_project/FNC09-793,"Sustainable agriculture education and practicum for Kansas small farmers and ranchers using permaculture principles of ecological systems design and management","17,976.00","North Central",Farmer/Rancher,KS,2009,
AS95-023,https://projects.sare.org/sare_project/AS95-023,"Increasing Acceptance of Low-Input Landscapes for the Southeast",,Southern,"Research and Education",GA,1995,
ENC15-146,https://projects.sare.org/sare_project/ENC15-146,"Soil Health Bootcamp and Applications to Sustainable Vegetable Cropping: Professional Development for Local Agriculture Educators","64,307.00","North Central","Professional Development Program",KS,2015,"Kansas State University"
ENC98-029,https://projects.sare.org/sare_project/ENC98-029,"Michigan Field Crop Ecology: Training and Field Demonstrations","47,677.00","North Central","Professional Development Program",MI,1998,
EW08-018,https://projects.sare.org/sare_project/EW08-018,"Enhancing Ecological Disease Management on Guam Through Building Agriculture professionals' Understanding of Soil Nutrients","49,962.00",Western,"Professional Development Program",GU,2008,
FNC01-380,https://projects.sare.org/sare_project/FNC01-380,"Advancing Organic Orcharding Through the Use of Kaolin Clay","4,860.00","North Central",Farmer/Rancher,IN,2001,
FNC02-392,https://projects.sare.org/sare_project/FNC02-392,"Feasibility of Grapes as a Sustainable Crop in Northwest Iowa","5,982.00","North Central",Farmer/Rancher,IA,2002,
FNC03-469,https://projects.sare.org/sare_project/FNC03-469,"Evaluating Alternative Pest Management Strategies for Organic Apple Production","6,000.00","North Central",Farmer/Rancher,IA,2003,
FNC08-728,https://projects.sare.org/sare_project/FNC08-728,"Potential of Heritage Wheat Varieties for Use on Organic Farms: A Variety Trial and Market Survey","5,990.82","North Central",Farmer/Rancher,MO,2008,
FNC12-873,https://projects.sare.org/sare_project/FNC12-873,"Scaling Up the Use of Trap Crops for Insect Control in Mechanized Squash Production","7,039.00","North Central",Farmer/Rancher,MO,2012,
FNC14-944,https://projects.sare.org/sare_project/FNC14-944,"Pasture Weed Control with Juglone (Black Walnut) Spray","7,336.00","North Central",Farmer/Rancher,MO,2014,
FNC94-068,https://projects.sare.org/sare_project/FNC94-068,"Utilizing Native Sandhill Plum as a Income-Producing Windbreak","3,689.00","North Central",Farmer/Rancher,KS,1994,
FNC95-091,https://projects.sare.org/sare_project/FNC95-091,"Living Mulches in Minnesota Wheat","1,373.00","North Central",Farmer/Rancher,MN,1995,
FNE06-566,https://projects.sare.org/sare_project/FNE06-566,"Value-added Processing of Crops Into ""Farmers' Market Frozen Foods""","9,659.00",Northeast,Farmer/Rancher,NY,2006,
FNE95-090,https://projects.sare.org/sare_project/FNE95-090,"Biocontrol of Two-Spotted Spidermite",500.00,Northeast,Farmer/Rancher,NY,1995,
FNE95-094,https://projects.sare.org/sare_project/FNE95-094,"The Use of Ethylene as a Chemical Pinching Agent on Floricultural Crops","3,750.00",Northeast,Farmer/Rancher,MA,1995,
FS08-225,https://projects.sare.org/sare_project/FS08-225,"Improving Sustainability of A Long-term Certified Organic Cash Grain Production System","8,828.00",Southern,Farmer/Rancher,VA,2008,
FS14-282,https://projects.sare.org/sare_project/FS14-282,"Correlating Nitrogen Application Rates in Sugarcane With Low-Cost Normalized Difference Vegetation Index (NDVI)","9,198.00",Southern,Farmer/Rancher,LA,2014,"Ellendale Farms LLC"
FW01-002,https://projects.sare.org/sare_project/FW01-002,"Northeast New Mexico Pecan Research","2,000.00",Western,Farmer/Rancher,NM,2001,
FW03-202,https://projects.sare.org/sare_project/FW03-202,"Controlling Flea Beetles in Arugula Using Traps and Sprays","7,500.00",Western,Farmer/Rancher,WA,2003,
FW06-021,https://projects.sare.org/sare_project/FW06-021,"Management of Iron  Deficiency in Bean with Annual Ryegrass Interplantings","9,505.00",Western,Farmer/Rancher,WY,2006,
FW14-019,https://projects.sare.org/sare_project/FW14-019,"Improving Orchard Management through Multi-Species Cover Crop Mo","18,340.00",Western,Farmer/Rancher,OR,2014,"Omeg Orchards"
GNC04-035,https://projects.sare.org/sare_project/GNC04-035,"Control of adult striped cucumber beetle with a natural enemy parasitoid and an insect parasitic nematode","8,564.00","North Central","Graduate Student",OH,2004,"Ohio State University"
GNC07-075,https://projects.sare.org/sare_project/GNC07-075,"Evaluating Rye Germplasm for Use as a Cover Crop in the Upper Midwest","9,898.00","North Central","Graduate Student",MN,2007,"University of Minnesota"
GNC08-091,https://projects.sare.org/sare_project/GNC08-091,"Epidemiology of the aster yellows phytoplasma: the influence of non-crop hosts on geographic distribution and movement of the pathogen","9,873.00","North Central","Graduate Student",WI,2008,UW-Madison
GNC08-092,https://projects.sare.org/sare_project/GNC08-092,"Reducing cost to livestock producers: Very large scale aerial (VLSA) imagery compared to traditional range field monitoring methods","9,870.00","North Central","Graduate Student",ND,2008,"North Dakota State University"
GNC14-194,https://projects.sare.org/sare_project/GNC14-194,"Integrating Flowering Windbreaks for Insect Management in Cucumbers","9,989.00","North Central","Graduate Student",MI,2014,"Michigan State University"
GNE12-037,https://projects.sare.org/sare_project/GNE12-037,"The role of cover crops as a floral resource for native bee conservation in agroecosystems","14,929.00",Northeast,"Graduate Student",PA,2012,"Penn State University"
GNE14-088,https://projects.sare.org/sare_project/GNE14-088,"Management of the lepidopteran pest complex in cabbage: Augmentative biological control strategies in different landscape contexts","14,993.00",Northeast,"Graduate Student",NY,2014,"Cornell University"
GNE15-103,https://projects.sare.org/sare_project/GNE15-103,"Reducing Pesticide Use in Vegetable Production by Calculating Soil-borne Disease Risk","14,633.00",Northeast,"Graduate Student",NY,2015,"Cornell University"
GS01-009,https://projects.sare.org/sare_project/GS01-009,"Competition for Nitrogen and Groundwater Nitrate Levels in Temperate Alley Cropping Systems","10,000.00",Southern,"Graduate Student",FL,2001,
GS03-020,https://projects.sare.org/sare_project/GS03-020,"The Assessment of Conservation and Traditional Tillage Systems on Weed Dynamics, Insect Abundance, and Northern Bobwhite Quail Life and Behavioral Patterns","10,000.00",Southern,"Graduate Student",SC,2003,
GS03-028,https://projects.sare.org/sare_project/GS03-028,"Evaluation of Beneficial Insect Habitat for Organic Farms","10,000.00",Southern,"Graduate Student",NC,2003,
GS05-043,https://projects.sare.org/sare_project/GS05-043,"BT Cotton, Tillage and Cover Crops Identity: Relative Effects on Above and Below Ground Invertebrate Diversity","2,895.00",Southern,"Graduate Student",GA,2005,"University of Georgia"
GS07-058,https://projects.sare.org/sare_project/GS07-058,"Cover crop mulches for no-till organic onion production","10,000.00",Southern,"Graduate Student",NC,2007,"North Carolina State University"
GS10-096,https://projects.sare.org/sare_project/GS10-096,"Integrated Use of Grafting Technology to Improve Disease Resistance, Yield and Fruit Quality in Organic Heirloom Tomato Production","10,000.00",Southern,"Graduate Student",FL,2010,
GS14-128,https://projects.sare.org/sare_project/GS14-128,"Assessment of beneficial microorganisms: Trichoderma, Actinomycetes, and Bacillus in anaerobic soil disinfestation (ASD)","10,993.00",Southern,"Graduate Student",TN,2014,"The University of Tennessee"
GW07-004,https://projects.sare.org/sare_project/GW07-004,"Contamination of non-Bt cotton fields by transgenic Bt cotton","20,000.00",Western,"Graduate Student",AZ,2007,"University of Arizona"
GW11-019,https://projects.sare.org/sare_project/GW11-019,"Impacts of Reduced Nitrogen Application During Late Growing Season on Potato Tuber Quality and Profitability","24,490.00",Western,"Graduate Student",CO,2011,"Colorado State University"
LNC02-213,https://projects.sare.org/sare_project/LNC02-213,"Implementing Sustainable Management of Muskmelon Diseases, Weeds, and Insect Pests in Partnership with Iowa Growers","95,441.00","North Central","Research and Education",IA,2002,
LNC06-273,https://projects.sare.org/sare_project/LNC06-273,"Pasture-wheat intercropping for post-contract Conservation Reserve Program Lands","70,188.00","North Central","Research and Education",KS,2006,
LNC09-316,https://projects.sare.org/sare_project/LNC09-316,"The role of imidacloprid systemic insecticide on colony collapse disorder of honey bees and decline of bumble bee pollinators","175,000.00","North Central","Research and Education",MN,2009,
LNE02-160,https://projects.sare.org/sare_project/LNE02-160,"Restoring Our Seed: Extension Program to Train Farmers in Ecological Seed Crop Production","135,000.00",Northeast,"Research and Education",ME,2002,
LNE03-176,https://projects.sare.org/sare_project/LNE03-176,"Greenhouse IPM for the Amish and Mennonite community of Lancaster County","56,890.00",Northeast,"Research and Education",PA,2003,
LNE03-180,https://projects.sare.org/sare_project/LNE03-180,"Optimization of cover crop strategies for pumpkin production in the mid-Atlantic","99,613.00",Northeast,"Research and Education",MD,2003,
LNE06-244,https://projects.sare.org/sare_project/LNE06-244,"Integrated cover crop innovations for biologically based no-till","118,310.00",Northeast,"Research and Education",PA,2006,
LNE09-281,https://projects.sare.org/sare_project/LNE09-281,"Aronia berries: A sustainable nutraceutical crop for the Northeast","151,821.00",Northeast,"Research and Education",CT,2009,
LNE15-343,https://projects.sare.org/sare_project/LNE15-343,"Improving nutrient and pest management in high tunnel tomato production","249,539.00",Northeast,"Research and Education",NH,2015,"University of New Hampshire"
LNE97-080,https://projects.sare.org/sare_project/LNE97-080,"A Strawberry IPM Systems Comparison Demonstration","116,586.00",Northeast,"Research and Education",NY,1997,
LNE97-081,https://projects.sare.org/sare_project/LNE97-081,"Potential of Earthworms as Biocontrol Agents of Scab and Leafminers in New England Apple Orchards","99,790.00",Northeast,"Research and Education",NH,1997,
LNE98-098,https://projects.sare.org/sare_project/LNE98-098,"Adaptive Nitrogen Management in Orchards: Developing Soil - Ground Cover Management Systems that Optimize Nitrogen Uptake, Retention - Recycling","153,505.00",Northeast,"Research and Education",NY,1998,
LS02-136,https://projects.sare.org/sare_project/LS02-136,"Enhancing the Economic and Environmental Competitiveness of Small Farms Through Agroforestry","189,600.00",Southern,"Research and Education",FL,2002,
LS02-137,https://projects.sare.org/sare_project/LS02-137,"Participatory Implementation of Sustainable Vegetable Systems for Small and Limited Resource Farmers","161,280.00",Southern,"Research and Education",AL,2002,
LS12-252,https://projects.sare.org/sare_project/LS12-252,"Developing Sustainable Tropical Leguminous Cover Crop and Green Manure Mulch Systems for Low-External-Input crop Production in the U.S. Virgin Islands, Puerto Rico, and Florida","223,000.00",Southern,"Research and Education",VI,2012,
LS96-077,https://projects.sare.org/sare_project/LS96-077,"Development of Sustainable Cropping Systems for Seedless Watermelon and Fall Lettuce in Rotation with Green Manures","182,751.00",Southern,"Research and Education",NC,1996,
ONE05-046,https://projects.sare.org/sare_project/ONE05-046,"Hybrid and heirloom high-tunnel tomato variety trial","9,880.00",Northeast,"On Farm Research/Partnership",NY,2005,
ONE06-051,https://projects.sare.org/sare_project/ONE06-051,"Managing resistance and cross resistance between imidacloprid and spinosad in Colorado potato beetle","9,973.00",Northeast,"On Farm Research/Partnership",NY,2006,
ONE10-130,https://projects.sare.org/sare_project/ONE10-130,"Maximizing natural enemy-provided control in no-till, field crop systems","10,008.00",Northeast,"On Farm Research/Partnership",PA,2010,
ONE12-152,https://projects.sare.org/sare_project/ONE12-152,"Management of basil downy mildew using organic fungicides and nitrogen fertilization rate","6,705.00",Northeast,"On Farm Research/Partnership",CT,2012,
ONE12-163,https://projects.sare.org/sare_project/ONE12-163,"Sustainable management tools for the redheaded flea beetle in nurseries","14,999.00",Northeast,"On Farm Research/Partnership",MD,2012,"University of Delaware"
ONE14-208,https://projects.sare.org/sare_project/ONE14-208,"Expanding the use of Brassica cover crops in onion production","14,932.00",Northeast,"On Farm Research/Partnership",NY,2014,
ONE15-249,https://projects.sare.org/sare_project/ONE15-249,"Evaluation of Novel Bird Repellants in Vegetable Crops","14,908.00",Northeast,"On Farm Research/Partnership",NY,2015,
SW00-015,https://projects.sare.org/sare_project/SW00-015,"An Alternative to Traditional Wheat Stubble Management Using Sheep to Control Pests and Improve Soil Nutrient Cycling","166,147.00",Western,"Research and Education",MT,2000,
SW01-017,https://projects.sare.org/sare_project/SW01-017,"Commercial Production of Tropical Mushrooms Grown Organically","36,081.00",Western,"Research and Education",GU,2001,
SW02-035,https://projects.sare.org/sare_project/SW02-035,"Control of Western Tarnished Plant Bug (WTPB) Lygus hesperus Knight in Organic Strawberry Production Systems Using Trap Crops and Tractor-mounted Vacuums","31,280.00",Western,"Research and Education",CA,2002,
SW03-008,https://projects.sare.org/sare_project/SW03-008,"Annual Legume-Based Systems for Sustainable Integrated Crop/Livestock Enterprise Diversification on the Central High Plains","200,000.00",Western,"Research and Education",WY,2003,
SW07-503,https://projects.sare.org/sare_project/SW07-503,"Supplemental R-E Funding from Innovative SARE Coordinator Programs","24,842.00",Western,"Research and Education",WA,2007,
SW08-056,https://projects.sare.org/sare_project/SW08-056,"Enhancement of pollination by native bees in blueberries and cranberries","183,271.00",Western,"Research and Education",OR,2008,
SW08-060,https://projects.sare.org/sare_project/SW08-060,"Triple-cropping Dairy Forage Production Systems Through Conservation Tillage in California's San Joaquin Valley","118,100.00",Western,"Research and Education",CA,2008,
SW15-029,https://projects.sare.org/sare_project/SW15-029,"Improving Tart Cherry Sustainability","230,154.00",Western,"Research and Education",UT,2015,"Utah State University"
SW98-058,https://projects.sare.org/sare_project/SW98-058,"Reducing Chemical Inputs in Arid-Climates Through Sustainable Orchard Management","261,044.00",Western,"Research and Education",UT,1998,
SW98-071,https://projects.sare.org/sare_project/SW98-071,"Annual Legumes in Fallow as an Integrated Crop/Livestock Alternative in the Central Great Plains.","173,979.00",Western,"Research and Education",WY,1998,
SW99-009,https://projects.sare.org/sare_project/SW99-009,"Rotations with Broccoli - A Sustainable Alternative to Soil Chemical Fumigants","145,750.00",Western,"Research and Education",CA,1999,
ONE16-258,https://projects.sare.org/sare_project/ONE16-258,"Increasing the viability of heirloom dry bean production in the Northeast: Part II","14,925.00",Northeast,"On Farm Research/Partnership",VT,2016,"University of Vermont Extension"
OS16-099,https://projects.sare.org/sare_project/OS16-099,"Alternative Substrate for Soilless Production of Vegetables","12,834.00",Southern,"On Farm Research/Partnership",KY,2016,"University of Kentucky"
FNC16-1055,https://projects.sare.org/sare_project/FNC16-1055,"Developing Sustainable Roller Crimped Cover Cropping Systems for Corn and Soybean Production: Effects on Cover Crop Winter Hardiness, Biomass, N Mobilization, Weed Suppression and Yields","14,893.00","North Central",Farmer/Rancher,IA,2016,"FC Hunter IRRV Trust"
GS16-156,https://projects.sare.org/sare_project/GS16-156,"Integrating Pest & Pollinator Management in Southern Berry Production","10,921.00",Southern,"Graduate Student",NC,2016,"North Carolina State University"
GS16-159,https://projects.sare.org/sare_project/GS16-159,"Evaluation of Pest and Disease Resistance in Winter Squash Varieties Under Organic Management in the Southeast","10,944.00",Southern,"Graduate Student",GA,2016,"University of Georgia"
GNE16-131,https://projects.sare.org/sare_project/GNE16-131,"Macroarthropod decomposers in field crops: Influence on residue breakdown and response to prophylactic insecticides","15,000.00",Northeast,"Graduate Student",PA,2016,"Penn State University"
LNE16-353,https://projects.sare.org/sare_project/LNE16-353,"Improving profitability of garlic production through understanding and management of Fusarium diseases","128,200.00",Northeast,"Research and Education",NY,2016,"Cornell University"
GNC16-227,https://projects.sare.org/sare_project/GNC16-227,"Interactive Effects of Cover Crops, Soil Health Practices, and Insect Community Dynamics on Corn Production","9,998.00","North Central","Graduate Student",SD,2016,"South Dakota State University"
ONE16-279c,https://projects.sare.org/sare_project/ONE16-279c,"Farmer-led cover crop trials and demonstrations for vegetable and corn silage fields","22,465.00",Northeast,"On Farm Research/Partnership",CT,2016,"Eastern Connecticut Conservation District"
FS17-299,https://projects.sare.org/sare_project/FS17-299,"Organic Sweet Potato as a Commercial Crop in South Texas","10,000.00",Southern,Farmer/Rancher,TX,2017,Farmer
LS17-282,https://projects.sare.org/sare_project/LS17-282,"High Tunnel Grape Production Systems: A Novel Sustainable Approach to Growing Grapes","266,986.00",Southern,"Research and Education",AR,2017,"University of Arkansas"
EW17-019,https://projects.sare.org/sare_project/EW17-019,"Western Region Pesticide Risk Reduction through Professional Development for Western State IPM Programs","69,299.00",Western,"Professional Development Program",OR,2017,"Oregon State University"
GNE17-155,https://projects.sare.org/sare_project/GNE17-155,"A root-centric view of root-microbe interactions in apple replant disease","15,000.00",Northeast,"Graduate Student",PA,2017,"The Pennsylvania State University"
GS17-177,https://projects.sare.org/sare_project/GS17-177,"Effect of Cultural Practices in Controlling Southern Blight of Potato in the Mid-Atlantic Region","16,413.00",Southern,"Graduate Student",VA,2017,"Virginia Tech"
NCMO17-001,https://projects.sare.org/sare_project/NCMO17-001,"Missouri Annual State Report","130,000.00","North Central","PDP State Program",MO,2017,"University of Missouri, Lincoln University"
SW18-031,https://projects.sare.org/sare_project/SW18-031,"Exploring relationships between pollinators and canola on the Palouse","207,134.00",Western,"Research and Education",WA,2018,"Washington State University"
FW18-034,https://projects.sare.org/sare_project/FW18-034,"Can Intensive Rotational Grazing in combination with Indigenous Microorganism Application improve soil condition (i.e., soil carbon, minerals, and microbial life)?","19,953.00",Western,Farmer/Rancher,HI,2018,"Graze and Sprout Farm"
EW18-018,https://projects.sare.org/sare_project/EW18-018,"Supporting outcome-based management on private & public rangelands: training agricultural professionals on monitoring techniques","72,519.00",Western,"Professional Development Program",ID,2018,"University of Idaho"
LNE18-362,https://projects.sare.org/sare_project/LNE18-362,"Goldenberries (Physalis peruviana): A New Fruit for CSA Farms and Farmers Markets","102,122.00",Northeast,"Research and Education",NJ,2018,"Rutgers University"
ONC18-044,https://projects.sare.org/sare_project/ONC18-044,"Making the Most of Mulch: Strategic Systems for Small Organic Tomato Growers","28,394.00","North Central","On Farm Research/Partnership",IN,2018,"Indiana University"
FNC18-1138,https://projects.sare.org/sare_project/FNC18-1138,"Mitigation of Potential Adverse Effects of Transgenic Crop Production for Long-Term Improvement of Soil Health","7,481.00","North Central",Farmer/Rancher,AZ,2018,"Osweiler Farm"
